Year,URL
2025,https://www.austlii.edu.au/cgi-bin/viewdb/au/cases/wa/WASAT/2025/
2024,https://www.austlii.edu.au/cgi-bin/viewdb/au/cases/wa/WASAT/2024/
2023,https://www.austlii.edu.au/cgi-bin/viewdb/au/cases/wa/WASAT/2023/
2022,https://www.austlii.edu.au/cgi-bin/viewdb/au/cases/wa/WASAT/2022/
2021,https://www.austlii.edu.au/cgi-bin/viewdb/au/cases/wa/WASAT/2021/
2020,https://www.austlii.edu.au/cgi-bin/viewdb/au/cases/wa/WASAT/2020/
2019,https://www.austlii.edu.au/cgi-bin/viewdb/au/cases/wa/WASAT/2019/
2018,https://www.austlii.edu.au/cgi-bin/viewdb/au/cases/wa/WASAT/2018/
2017,https://www.austlii.edu.au/cgi-bin/viewdb/au/cases/wa/WASAT/2017/
2016,https://www.austlii.edu.au/cgi-bin/viewdb/au/cases/wa/WASAT/2016/
2015,https://www.austlii.edu.au/cgi-bin/viewdb/au/cases/wa/WASAT/2015/
2014,https://www.austlii.edu.au/cgi-bin/viewdb/au/cases/wa/WASAT/2014/
2013,https://www.austlii.edu.au/cgi-bin/viewdb/au/cases/wa/WASAT/2013/
2012,https://www.austlii.edu.au/cgi-bin/viewdb/au/cases/wa/WASAT/2012/
2011,https://www.austlii.edu.au/cgi-bin/viewdb/au/cases/wa/WASAT/2011/
2010,https://www.austlii.edu.au/cgi-bin/viewdb/au/cases/wa/WASAT/2010/
2009,https://www.austlii.edu.au/cgi-bin/viewdb/au/cases/wa/WASAT/2009/
2008,https://www.austlii.edu.au/cgi-bin/viewdb/au/cases/wa/WASAT/2008/
2007,https://www.austlii.edu.au/cgi-bin/viewdb/au/cases/wa/WASAT/2007/
2006,https://www.austlii.edu.au/cgi-bin/viewdb/au/cases/wa/WASAT/2006/
2005,https://www.austlii.edu.au/cgi-bin/viewdb/au/cases/wa/WASAT/2005/
